,precision,recall,f1-score,support
No Churn,0.9034981905910736,0.7236714975845411,0.8036480686695279,1035.0
Churn,0.506896551724138,0.786096256684492,0.6163522012578616,374.0
accuracy,0.7402413058907026,0.7402413058907026,0.7402413058907026,0.7402413058907026
macro avg,0.7051973711576058,0.7548838771345165,0.7100001349636947,1409.0
weighted avg,0.7982256476980757,0.7402413058907026,0.7539329129477655,1409.0
