,precision,recall,f1-score,support
No Churn,0.8756476683937824,0.8164251207729468,0.845,1035.0
Churn,0.5720720720720721,0.679144385026738,0.6210268948655256,374.0
accuracy,0.7799858055358411,0.7799858055358411,0.7799858055358411,0.7799858055358411
macro avg,0.7238598702329273,0.7477847528998425,0.7330134474327628,1409.0
weighted avg,0.7950676307611921,0.7799858055358411,0.785549367409302,1409.0
