,precision,recall,f1-score,support
No Churn,0.8341915550978373,0.782608695652174,0.8075772681954138,1035.0
Churn,0.4863013698630137,0.56951871657754,0.5246305418719212,374.0
accuracy,0.7260468417317246,0.7260468417317246,0.7260468417317246,0.7260468417317246
macro avg,0.6602464624804255,0.676063706114857,0.6661039050336675,1409.0
weighted avg,0.7418488089815676,0.7260468417317246,0.7324728851968428,1409.0
