,precision,recall,f1-score,support
No Churn,0.8854282536151279,0.7690821256038647,0.8231644260599793,1035.0
Churn,0.5313725490196078,0.7245989304812834,0.6131221719457014,374.0
accuracy,0.7572746628814763,0.7572746628814763,0.7572746628814763,0.7572746628814763
macro avg,0.7084004013173679,0.7468405280425741,0.7181432990028404,1409.0
weighted avg,0.7914489537437833,0.7572746628814763,0.7674115495243229,1409.0
