,precision,recall,f1-score,support
No Churn,0.8483965014577259,0.8434782608695652,0.8459302325581395,1035.0
Churn,0.5736842105263158,0.5828877005347594,0.5782493368700266,374.0
accuracy,0.7743080198722498,0.7743080198722498,0.7743080198722498,0.7743080198722498
macro avg,0.7110403559920209,0.7131829807021624,0.712089784714083,1409.0
weighted avg,0.7754778380025469,0.7743080198722498,0.7748779579042331,1409.0
