,precision,recall,f1-score,support
No Churn,0.866507747318236,0.702415458937198,0.775880469583778,1035.0
Churn,0.45964912280701753,0.7005347593582888,0.5550847457627118,374.0
accuracy,0.7019162526614621,0.7019162526614621,0.7019162526614621,0.7019162526614621
macro avg,0.6630784350626268,0.7014751091477434,0.665482607673245,1409.0
weighted avg,0.7585126262627387,0.7019162526614621,0.7172732299038073,1409.0
