,precision,recall,f1-score,support
No Churn,0.8545101842870999,0.851207729468599,0.8528557599225557,1035.0
Churn,0.5925925925925926,0.5989304812834224,0.5957446808510638,374.0
accuracy,0.7842441447835344,0.7842441447835344,0.7842441447835344,0.7842441447835344
macro avg,0.7235513884398462,0.7250691053760108,0.7243002203868097,1409.0
weighted avg,0.7849877007571171,0.7842441447835344,0.7846091001832101,1409.0
