,precision,recall,f1-score,support
No Churn,0.8451923076923077,0.8492753623188406,0.8472289156626506,1035.0
Churn,0.5772357723577236,0.56951871657754,0.5733512786002691,374.0
accuracy,0.7750177430801988,0.7750177430801988,0.7750177430801988,0.7750177430801988
macro avg,0.7112140400250156,0.7093970394481903,0.7102900971314599,1409.0
weighted avg,0.774066868220956,0.7750177430801988,0.7745317997922953,1409.0
