,precision,recall,f1-score,support
No Churn,0.8976109215017065,0.7623188405797101,0.8244514106583072,1035.0
Churn,0.5358490566037736,0.7593582887700535,0.6283185840707964,374.0
accuracy,0.7615330021291696,0.7615330021291696,0.7615330021291696,0.7615330021291696
macro avg,0.7167299890527401,0.7608385646748819,0.7263849973645518,1409.0
weighted avg,0.8015861255671239,0.7615330021291696,0.772390603601012,1409.0
