,precision,recall,f1-score,support
No Churn,0.9219219219219219,0.5932367149758454,0.721928277483833,1035.0
Churn,0.43337819650067294,0.8609625668449198,0.576544315129812,374.0
accuracy,0.6643009226401704,0.6643009226401704,0.6643009226401704,0.6643009226401704
macro avg,0.6776500592112974,0.7270996409103826,0.6492362963068226,1409.0
weighted avg,0.7922445952309729,0.6643009226401704,0.6833380703011476,1409.0
